"paralog_pair","GI_score_A549","GI_score_HT29","GI_score_OVCAR8","fdr_A549","fdr_HT29","fdr_OVCAR8","p_val_A549","p_val_HT29","p_val_OVCAR8"
"MFAP3_MFAP3L",-0.00364104053370341,-0.307963640455563,-0.0356634071319504,0.982688691323593,0.108811966105047,0.793136728278472,0.976382223948863,0.0764113806643382,0.704573073756062
"MFSD14A_MFSD14B",0.244219337441268,-0.14980042124535,0.26372966886617,0.0939046077657095,0.197940814599437,0.0335901455235912,0.0435736021146096,0.155209174723132,0.0138361393471864
"MKNK1_MKNK2",0.284134900224362,-0.51913738966625,-0.236459470940408,0.138585191181515,6.69377826239884e-05,0.0209818554893347,0.0735911437043282,1.34539960112731e-05,0.00775755947372424
"MOAP1_PNMA1",-0.71970845352561,-0.540637924472534,-0.506973079881964,6.52116358409813e-05,1.04488571426523e-05,0.00234143205009823,5.82535704782959e-06,1.1953453933861e-06,0.000511280447664129
"MOB1B_MOB3A",-0.184605540304853,-0.146297463397539,-0.0880223193525166,0.0924843072552608,0.0320399429041632,0.246279971684849,0.0418822612717844,0.0190013557173573,0.152779138762313
"MPP2_MPP6",0.0854642038016884,-0.196656327669467,0.244091125386937,0.496286633903073,0.0780629441480203,0.0551873691147552,0.391610793005402,0.0524939401094628,0.0253341520750117
"MPST_TST",-0.0762896362002387,-0.416290639643481,-0.138406042861189,0.747709752196832,0.024059453981937,0.497034988339981,0.673495384733127,0.0137312020244305,0.38110126897532
"MRFAP1_MRFAP1L1",0.162336868406441,-0.305991315234806,-0.0700795760474848,0.267634796971452,0.00469090281761645,0.691813244940206,0.176383336207777,0.00213052313410986,0.580230463498237
"MTHFD2_MTHFD2L",0.089787107695814,-0.345723138053298,-0.0570125838466523,0.453468587611766,0.00945238520064662,0.484966805904021,0.345446293788615,0.00471446507526048,0.365831039689386
"MTMR3_MTMR4",-0.967601829033525,-0.972121375465035,-1.00862367010517,0.00197327987717841,0.000836081165663382,0.00158399740786024,0.000348680345076872,0.000292524675827635,0.000304872823572093
