,HAP1.T12,HAP1.T18
ARID1A_ARID1B,-0.8940398382786573,-0.8430829540109185
ARL8A_ARL8B,-0.5877292316284202,-0.8522684209078114
ARNT_ARNT2,-0.001578649971408474,-0.5635522430777805
ARPC5_ARPC5L,-2.2165979458878216,-2.1065772624983636
ARPP19_ENSA,-0.4224605735521626,1.5985349016571098
ATAD2_ATAD2B,1.1417188963239178,0.6688565784386352
ATF3_JDP2,0.9665394714662049,1.0007660382494497
ATF6_ATF6B,0.23631589248498885,-0.12388003739623313
ATG4A_ATG4B,0.9706567951148373,1.8969390681593725
ATG4C_ATG4D,0.3595344420894779,0.30553251807419907
ATG16L1_ATG16L2,0.9824130809653034,0.4637317476559436
ATP6V0A1_ATP6V0A4,0.6041088908276624,0.3162296091445928
ATP6V0A2_TCIRG1,-0.3958880162063273,0.2873258025407344
ATP6V1C1_ATP6V1C2,2.2178835807036763,1.2707399961250603
ATP8A1_ATP8A2,2.142624406485294,2.2118483802277424
ATP9A_ATP9B,1.553029815034979,1.061090135899972
ATRN_ATRNL1,0.7594317113374707,1.234718359168285
ATXN1_ATXN1L,-2.040755051953852,-1.914049681143239
ATXN7_ATXN7L2,-1.0759833146428968,-0.7741461861440125
AUH_ECHDC2,1.5023751575758746,1.0359860275301818
AXIN1_AXIN2,0.29583759344742994,0.5735436379616089
B4GALT5_B4GALT6,0.9638401806047431,-0.2539489502696104
BACH1_BACH2,-0.7193342716138219,-0.41492258003381094
BAG3_BAG4,-0.43854479117613504,-0.20452520872840632
BAIAP3_UNC13D,0.17567969042345127,0.5337194903310762
BANK1_PIK3AP1,-0.24149716485868392,0.5148830425544602
BCOR_BCORL1,-0.7144778759379383,-0.6441162213971939
BEGAIN_TJAP1,0.13036997762958696,0.32466408732673374
BMI1_PCGF2,0.6237496438574965,1.0294032651231388
BMPR1A_BMPR1B,0.9723739993039415,0.7027497719733774
BRD7_BRD9,0.9565103503436132,1.2219368611595025
BRMS1_BRMS1L,-0.5675386963631857,-0.9657288276192434
BTBD1_BTBD2,-0.24120114535767212,-0.8469474928141616
BTBD3_BTBD6,1.4337215154351983,0.8498144029938223
BTBD10_KCTD20,-0.3200365141094171,0.2514506279539513
BTRC_FBXW11,-1.2493329879142692,-1.2446214040682775
CAB39_CAB39L,-2.675838838364621,-2.4028749961682117
CALB1_CALB2,-1.028506269313043,-0.8044568533205194
CALM1_CALM2,0.6942270071150961,0.7056084285516836
CAMKK1_CAMKK2,0.8691934823511441,0.615899073774734
CAND1_CAND2,-0.36563605201911853,-1.124451793182931
CANX_CLGN,0.20583342208220393,-0.1250762295244862
CAPRIN1_CAPRIN2,0.5033642600283625,0.8280236043831337
CASKIN1_CASKIN2,0.004819265201463639,-0.18532726467083294
CASP3_CASP7,0.338622040837341,0.24470270037457545
CBX1_CBX5,-0.875387511712219,-0.7821558730738509
CC2D1A_CC2D1B,-0.3147913811807533,0.028657472435672286
CCDC102A_CCDC102B,2.162995077374621,2.2109979137407803
CCNA1_CCNA2,0.3141186629445317,0.6142304125168029
CCNB1_CCNB2,-2.714756161146199,-1.84748385196775
CCND1_CCND2,0.6109194005767719,1.2361235649490836
CCNE1_CCNE2,1.1823447565723295,0.7142616724841249
