,A375_D14,RPE_D14,MEWO_D14,A375_D28,RPE_D28,MEWO_D28
ALKBH4_ATR,-3.6125866229306904,-2.7867381432697336,1.0717442605923677,-3.279476920809748,-4.365747849493317,0.5245322180672046
ALK_LTK,0.1487410581292632,0.9249299314602833,0.09480765515415902,0.5324806820459956,1.2924023970462746,0.9648128562481344
ANKRD11_ANKRD12,0.5359716863057641,0.2372394620144193,0.44907693332455617,0.7234045724327243,-0.09744865147580119,0.5035399675127927
ANKRD55_INVS,0.3816700103581525,0.3197522171515879,0.25536804639593985,0.2312259001605608,0.008308709883055957,-0.20682753806526644
ANKS4B_USH1G,0.33958999369964676,-0.5591924406746221,0.1866011964102744,0.24784664164704948,-0.4587308540089627,-0.26672627652180725
ANKS6_KIDINS220,0.14175294545469128,0.1552965574929162,0.8642542290233809,-0.0014740521893220394,-0.16468206783427572,0.5938002172439831
AP000304.12_ATP5O,-0.46758753880375253,1.2086873113840981,0.6435135889451786,0.0927577710513113,-0.36778992918352976,-0.8780989839367606
AP2A1_AP2A2,-1.1667304455710772,-0.6017670706956436,-1.1062906386284843,-2.184504039943078,-1.4018558115324222,-1.1585163075909024
APC_APC2,0.7772487598366763,0.36856565815593845,0.25196835620238844,0.6305222805282447,0.5895430882565882,0.6144579365088366
APH1A_APH1B,0.11420417478566076,0.28493617044305064,-0.7779236587700465,-0.010045445814260067,-1.4250168202380025,-0.9390878007239001
ARFGEF1_ARFGEF2,-0.05150396846176925,-0.9860144409556475,-0.42891905378437223,0.0794784839488812,-1.0139175372863893,-0.4299079172429755
ARFIP1_ARFIP2,0.17103501468615395,-0.042853023729513814,-0.1316623685170517,0.25906020295870413,-0.059112586033625604,0.09870077616517384
ARHGAP35_ARHGAP5,0.2269952105946959,1.625074465167186,1.076962155387848,0.3066019376126152,3.7372973258384508,1.2022015493734353
ARHGEF11_ARHGEF12,-0.030759431761419553,-1.0179883220205805,1.3214164254533332,0.0223521134951615,-0.4025351948036555,0.5456498173626879
ARHGEF2_TP53,2.1829269284419883,6.0984526191330435,0.7201574872276529,1.58935154336924,5.418706756193513,0.08502691952301816
ARHGEF3_NET1,0.42939788773473825,0.2952691019859583,0.6329298242991105,0.24490159240967713,-0.35807641203681506,-0.0745990904342492
ARHGEF6_ARHGEF7,0.6680638119081536,-0.5597490728712687,0.7678928078531543,-0.3103643731247524,-0.37142250556859807,0.9656684714155244
ARID1A_ARID1B,-0.42806347492608204,-0.1803736396195222,-0.24491509221669877,-2.235167853660373,0.03395583537004349,-2.022496043840123
ARID4A_ARID4B,-0.2669073234471856,-0.3900652526915099,0.2074397939780412,-0.7833044098053763,-0.7493475241230334,1.2735935609608129
ARL6IP5_ASPM,-0.41932035607144963,0.10277833381363509,-1.0603833134319158,-0.2853942894454681,-0.8961510932790508,-1.621439762774872
ARL6IP5_PRAF2,0.3128639380180706,-0.1761422626628231,-0.677589644075131,0.1357014027653204,0.5042899257028647,-0.8532206563762138
ARPC1A_ARPC1B,-0.027667842052425316,-0.14196967989418882,0.4460747441264956,0.2145920732472778,-0.12816483885718605,-0.3573531433270055
ADAMTS20_ARPC1B,1.1534897700261415,0.3247364877116465,1.2232359976885465,0.5780065850246404,-0.793474605929209,0.7987440113580622
ARPC5_ARPC5L,-1.0338186156718854,-2.5853221324740416,-0.7212022298245934,-1.122242817974441,-2.250247026086674,-0.9569022254945189
ARRDC2_IQGAP3,-0.9659048388890671,-0.49438751327620606,-0.5399853023199217,-0.5466689978071839,-0.45310376320666707,-0.05307411668868035
ASAH2_ASAH2B,0.6348376302720272,0.19072696949813042,0.3679753343694487,0.4825302384853247,0.06043157579291506,-0.19732132380949624
ASF1A_ASF1B,-0.7197298211526002,-0.9706325681690183,-1.2585191175292079,-3.0454597285885607,-2.879020541230429,-2.7962438335862583
AMOTL2_ASPM,0.08735057113080606,0.6636624253285452,0.24390255788303677,0.331356202922142,0.10815282438931105,0.42321049328240257
ARHGEF10_ASPM,0.049682271821413,0.7956661654433795,0.2750124670177401,0.32985095899678335,-0.1630057625823795,0.1981815017358437
ARPC1B_ASPM,0.3819166283204092,0.1968360763046478,0.5637161434627094,0.4509270221737623,-0.7968791515304342,0.6546333728142245
ASXL1_ASXL3,0.48470564509030706,0.24677882495792616,0.3540983173704579,0.24922743699113642,0.27017362318051874,0.11135012845228154
ATAD2_ATAD2B,-0.6626929733445737,2.0883837288586906,-1.0639934350513152,-0.09907080155473111,2.8253483784800117,-1.1049348374767995
ATF7IP_ATF7IP2,0.46552226552239717,0.2421466169877311,0.8658894471777272,-0.9952649614095722,-0.39815947199538404,0.977402320576104
ATG2A_ATG2B,0.3322380726797317,0.15555146023741692,0.6362985741835752,0.29543966040535435,0.8737009854450929,0.17321538501856829
ATM_PARP1,0.6051762548620587,0.7720272687764923,0.5446713270734056,0.10371384059600812,-0.7847370039219635,0.3020115294555963
ATP6V1B1_ATP6V1B2,-6.823066119756891,-5.270934449849956,-5.215369937776851,-3.5670180173254646,-3.1098240691355197,-2.7005523962973372
ATP6V1C1_ATP6V1C2,-3.0792218260419273,-2.569675368061818,-1.0587308205154315,-1.636528959043553,-1.9048133364818787,-0.6901394642415944
